,WorkOrderNumber,DateCreated,DatePrinted,ProductNumber,ControlType,ControlPosition,StackPosition,HeadrailType,TrackWidthNumeric,TrackWidthFraction,LouverQty,FinalLouverLengthNumeric,FinalLouverLengthFraction,LouverComponentNumber,LouverComponentDesc,ValanceBaseWidthNumeric,ValanceBaseWidthFraction,ValanceInsert ComponentNumber,ValanceInsertComponentDesc,,,
29,2899800.008,12/12/2019,12/31/1899,GVT15          ,B,R,R,G85  ,51,51,17,61.875,61 7/8,68-3352-40     ,3.45X16 CRWN/HAMLTN MSTYGRY -2,51.25,51 1/4,68-3352-40     ,3.45X16 CRWN/HAMLTN MSTYGRY -2,,,FALSO
753,3440473.001,02/27/2020,12/31/1899,BVT15          ,B,R,R,G85  ,65.75,65 3/4,21,81,81,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",66,66,68-6585-40     ,"'3.5"" X 16'' GROTTO WHITE -2'",,,FALSO
671,3438693.001,02/27/2020,02/28/2020,GVT15LVR       ,,,,G85  ,,,1,82.25,82 1/4,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
834,3441587.003,02/27/2020,12/31/1899,GVT15          ,W,R,R,G85  ,27.5,27 1/2,9,55.5,55 1/2,68-9310-40     ,3.5X16 CROWN SATIN WHT -2,27.75,27 3/4,68-9310-40     ,3.5X16 CROWN SATIN WHT -2,,,FALSO
1059,3444962.004,03/02/2020,12/31/1899,GVT15          ,B,L,L,G85  ,32.25,32 1/4,11,56.75,56 3/4,68-9306-40     ,3.5X16CR DPLX WHT -2,32.5,32 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,FALSO
361,3431423.001,02/26/2020,02/27/2020,BVT15          ,B,R,R,G85  ,74.25,74 1/4,24,78.5,78 1/2,68-3614-40     ,3.5X16 RAPTURE STEEL -2,74.5,74 1/2,68-3614-40     ,3.5X16 RAPTURE STEEL -2,,,FALSO
338,3430763.006,02/26/2020,02/27/2020,BVT15          ,B,R,R,G85  ,94.75,94 3/4,31,81.5,81 1/2,68-9306-41     ,3.5X82.5CR DPLX WHT -2,95,95,68-9306-40     ,3.5X16CR DPLX WHT -2,,,FALSO
1941,3456129.002,02/29/2020,12/31/1899,BVT15          ,B,R,R,G85  ,62.25,62 1/4,20,80.75,80 3/4,68-9021-40     ,3.5X16 CR STOWE RESORT -2,62.5,62 1/2,68-9021-40     ,3.5X16 CR STOWE RESORT -2,,,FALSO
2551,3463228.001,03/02/2020,12/31/1899,BVT15          ,W,L,L,G85  ,81.25,81 1/4,26,81.5,81 1/2,68-9014-40     ,3.5X16 STOWE BONE -2,81.5,81 1/2,68-9014-40     ,3.5X16 STOWE BONE -2,,,FALSO
1674,3453414.003,02/29/2020,12/31/1899,BVT15          ,B,L,L,G85  ,58.375,58 3/8,19,44.875,44 7/8,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",58.625,58 5/8,68-6586-40     ,"'3.5"" X 16'' GROTTO IVORY -3'",,,FALSO
1444,3450407.003,02/28/2020,03/02/2020,SSVT15         ,B,R,R,G71  ,34.875,34 7/8,11,57.25,57 1/4,68-9583-40     ,3.5 X 16 CR LINEN CAFE -3,35,35,68-9583-40     ,3.5 X 16 CR LINEN CAFE -3,,,FALSO
2981,3469112.009,03/02/2020,12/31/1899,GVT15          ,B,R,R,G98  ,78.3125,78  5/16,26,68,68,68-9306-41     ,3.5X82.5CR DPLX WHT -2,,,,,,,FALSO
