WorkOrderNumber;DateCreated;DatePrinted;ProductNumber;ControlType;ControlPosition;StackPosition;HeadrailType;TrackWidthNumeric;TrackWidthFraction;LouverQty;FinalLouverLengthNumeric;FinalLouverLengthFraction;LouverComponentNumber;LouverComponentDesc;ValanceBaseWidthNumeric;ValanceBaseWidthFraction;ValanceInsert ComponentNumber;ValanceInsertComponentDesc
2899800.007;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;49.5;49 1/2;16;61.875;61 7/8;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;49.75;49 3/4;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
2899800.008;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;51;51;17;61.875;61 7/8;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;51.25;51 1/4;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
2899800.009;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;50.5;50 1/2;16;61.875;61 7/8;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;50.75;50 3/4;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
2899800.01;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;119.25;119 1/4;38;61.875;61 7/8;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;119.5;119 1/2;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
2899800.011;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;119.75;119 3/4;39;61.875;61 7/8;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;120;120;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
2899800.012;12/12/2019;12/31/1899;GVT15          ;B;R;R;G85  ;39.75;39 3/4;13;61.875;61 7/8;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2;40;40;68-3352-40     ;3.45X16 CRWN/HAMLTN MSTYGRY -2
3203123.022;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46;46;15;44.25;44 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.25;46 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.029;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46;46;15;44.25;44 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.25;46 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.055;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46.125;46 1/8;15;44.25;44 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.375;46 3/8;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.058;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46.25;46 1/4;15;44.25;44 1/4;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.5;46 1/2;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.075;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46.125;46 1/8;15;44.5;44 1/2;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.375;46 3/8;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3203123.086;01/30/2020;02/25/2020;GVT15          ;W;R;R;G85  ;46.125;46 1/8;15;44.5;44 1/2;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2;46.375;46 3/8;68-3353-40     ;3.45X16 CRWN/HAMLTN ALAB -2
3244996.001;02/05/2020;12/31/1899;GVT15          ;B;R;S;G71  ;89.875;89 7/8;30;100.5;100 1/2;68-9303-40     ;3.5X16CR DPLX ALAB -2;90;90;68-9303-40     ;3.5X16CR DPLX ALAB -2
3244996.002;02/05/2020;12/31/1899;GVT15          ;B;R;R;G71  ;59.625;59 5/8;19;62.375;62 3/8;68-9303-40     ;3.5X16CR DPLX ALAB -2;59.75;59 3/4;68-9303-40     ;3.5X16CR DPLX ALAB -2
3255547.001;03/02/2020;12/31/1899;SSVT15         ;W;R;R;G71  ;73.625;73 5/8;24;78.5;78 1/2;68-9587-40     ;3.5X16 CR LINEN GRANITE 4;73.75;73 3/4;68-9587-40     ;3.5X16 CR LINEN GRANITE 4
