WorkOrderNumber;DateCreated;DatePrinted;ProductNumber;ControlType;ControlPosition;StackPosition;HeadrailType;TrackWidthNumeric;TrackWidthFraction;LouverQty;FinalLouverLengthNumeric;FinalLouverLengthFraction;LouverComponentNumber;LouverComponentDesc;ValanceBaseWidthNumeric;ValanceBaseWidthFraction;ValanceInsert ComponentNumber;ValanceInsertComponentDesc
2075591.001;09/04/2019;12/31/1899;GVT15          ;B;L;L;G71  ;93.3750;93 3/8;30;147.1250;147 1/8;68-9306-40     ;3.5X16CR DPLX WHT -2;93.5000;93 1/2;68-9306-40     ;3.5X16CR DPLX WHT -2
2075591.002;09/01/2019;12/31/1899;GVT15          ;B;R;S;G71  ;142.1250;142 1/8;46;60.1250;60 1/8;68-9306-40     ;3.5X16CR DPLX WHT -2;142.2500;142 1/4;68-9306-40     ;3.5X16CR DPLX WHT -2
2075591.003;09/01/2019;12/31/1899;GVT15          ;B;R;R;G71  ;93.7500;93 3/4;30;59.6250;59 5/8;68-9306-40     ;3.5X16CR DPLX WHT -2;93.8750;93 7/8;68-9306-40     ;3.5X16CR DPLX WHT -2
2075591.004;09/01/2019;12/31/1899;GVT15          ;B;R;R;G71  ;45.7500;45 3/4;15;152.8750;152 7/8;68-9306-40     ;3.5X16CR DPLX WHT -2;45.8750;45 7/8;68-9306-40     ;3.5X16CR DPLX WHT -2
2075591.005;09/01/2019;12/31/1899;GVT15          ;B;R;S;G71  ;189.0000;189;62;91.3750;91 3/8;68-9306-40     ;3.5X16CR DPLX WHT -2;189.1250;189 1/8;68-9306-40     ;3.5X16CR DPLX WHT -2
2075591.006;09/01/2019;12/31/1899;GVT15          ;B;R;R;G71  ;93.7500;93 3/4;30;155.1250;155 1/8;68-9306-40     ;3.5X16CR DPLX WHT -2;93.8750;93 7/8;68-9306-40     ;3.5X16CR DPLX WHT -2
2440802.001;02/18/2020;12/31/1899;GVT15          ;W;R;R;G85  ;35.5000;35 1/2;12;70.0000;70;68-3356-41     ;3.45"X82.5" CROWN WHITE -1;35.7500;35 3/4;68-3356-41     ;3.45"X82.5" CROWN WHITE -1
2440802.002;11/19/2019;12/31/1899;GVT15          ;W;R;R;G85  ;35.5000;35 1/2;12;82.0000;82;68-3356-41     ;3.45"X82.5" CROWN WHITE -1;35.7500;35 3/4;68-3356-41     ;3.45"X82.5" CROWN WHITE -1
2440802.003;02/18/2020;12/31/1899;GVT15          ;W;R;R;G85  ;47.5000;47 1/2;16;70.0000;70;68-3356-41     ;3.45"X82.5" CROWN WHITE -1;47.7500;47 3/4;68-3356-40     ;3.45X16 CRWN/HAMLTN WHITE -1
2440802.004;01/15/2020;12/31/1899;GVT15          ;W;R;R;G85  ;59.5000;59 1/2;19;82.0000;82;68-3356-41     ;3.45"X82.5" CROWN WHITE -1;59.7500;59 3/4;68-3356-40     ;3.45X16 CRWN/HAMLTN WHITE -1
